1D 255 -512.000000 260608.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	1.694761
1024.000000	4.625023
2048.000000	7.814922
3072.000000	11.312891
4096.000000	14.330391
5120.000000	18.140000
6144.000000	21.411719
7168.000000	24.833750
8192.000000	28.023750
9216.000000	31.429688
10240.000000	34.838125
11264.000000	37.706250
12288.000000	41.181484
13312.000000	44.693125
14336.000000	47.858516
15360.000000	50.978906
16384.000000	54.396250
17408.000000	56.900937
18432.000000	60.638984
19456.000000	63.958281
20480.000000	66.897109
21504.000000	70.324453
22528.000000	73.342734
23552.000000	76.409609
24576.000000	79.455781
25600.000000	82.445781
26624.000000	84.927187
27648.000000	88.411641
28672.000000	91.141406
29696.000000	94.304453
30720.000000	96.919688
31744.000000	99.834766
32768.000000	102.707734
33792.000000	105.907266
34816.000000	108.826250
35840.000000	111.574219
36864.000000	114.240625
37888.000000	116.614141
38912.000000	119.416953
39936.000000	122.306172
40960.000000	124.718047
41984.000000	127.575000
43008.000000	130.152031
44032.000000	132.641484
45056.000000	134.918203
46080.000000	137.549688
47104.000000	140.143828
48128.000000	142.675156
49152.000000	144.779219
50176.000000	147.160703
51200.000000	149.614609
52224.000000	151.948828
53248.000000	153.930703
54272.000000	156.457578
55296.000000	158.433281
56320.000000	160.748672
57344.000000	162.694531
58368.000000	164.884063
59392.000000	167.078906
60416.000000	169.166094
61440.000000	171.169687
62464.000000	173.088437
63488.000000	175.114531
64512.000000	177.218125
65536.000000	179.490625
66560.000000	181.221016
67584.000000	183.375938
68608.000000	184.836484
69632.000000	186.897734
70656.000000	188.378125
71680.000000	190.515469
72704.000000	191.868203
73728.000000	193.847422
74752.000000	195.283984
75776.000000	197.098984
76800.000000	198.588359
77824.000000	200.121250
78848.000000	201.709844
79872.000000	203.233516
80896.000000	204.521172
81920.000000	206.211719
82944.000000	207.626719
83968.000000	209.064687
84992.000000	210.624219
86016.000000	211.970469
87040.000000	213.307969
88064.000000	214.700859
89088.000000	215.686016
90112.000000	217.011016
91136.000000	218.421875
92160.000000	219.507812
93184.000000	220.885937
94208.000000	221.827578
95232.000000	223.037734
96256.000000	224.020625
97280.000000	225.278359
98304.000000	226.357656
99328.000000	227.424609
100352.000000	228.383750
101376.000000	229.547266
102400.000000	230.330859
103424.000000	231.323047
104448.000000	232.373203
105472.000000	233.150156
106496.000000	234.203203
107520.000000	235.023984
108544.000000	235.715937
109568.000000	236.687187
110592.000000	237.494453
111616.000000	238.135781
112640.000000	238.867344
113664.000000	239.893906
114688.000000	240.711563
115712.000000	241.476250
116736.000000	242.503203
117760.000000	243.204453
118784.000000	243.687500
119808.000000	244.306875
120832.000000	245.008672
121856.000000	245.563437
122880.000000	246.131328
123904.000000	246.776953
124928.000000	247.330469
125952.000000	248.003750
126976.000000	248.350156
128000.000000	248.831719
129024.000000	249.540625
130048.000000	249.976875
131072.000000	250.517109
132096.000000	250.893281
133120.000000	251.286172
134144.000000	251.692109
135168.000000	252.271250
136192.000000	252.576016
137216.000000	253.131875
138240.000000	253.361094
139264.000000	253.822734
140288.000000	254.211953
141312.000000	254.751250
142336.000000	255.122891
143360.000000	255.437578
144384.000000	255.728828
145408.000000	256.113828
146432.000000	256.375234
147456.000000	256.764688
148480.000000	256.986562
149504.000000	257.473359
150528.000000	257.623984
151552.000000	258.019531
152576.000000	258.121094
153600.000000	258.476484
154624.000000	258.717891
155648.000000	258.814688
156672.000000	259.179063
157696.000000	259.498437
158720.000000	259.548594
159744.000000	259.885313
160768.000000	260.123125
161792.000000	260.319141
162816.000000	260.693516
163840.000000	260.881797
164864.000000	261.158516
165888.000000	261.349922
166912.000000	261.548594
167936.000000	261.648281
168960.000000	261.862656
169984.000000	261.950937
171008.000000	262.205234
172032.000000	262.421094
173056.000000	262.462031
174080.000000	262.634141
175104.000000	262.861719
176128.000000	263.054609
