1D 255 -512.000000 260608.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	1.825422
1024.000000	4.550255
2048.000000	7.757031
3072.000000	11.626563
4096.000000	14.553125
5120.000000	18.483437
6144.000000	21.874609
7168.000000	24.955156
8192.000000	27.752734
9216.000000	31.270469
10240.000000	34.646484
11264.000000	38.099688
12288.000000	41.533281
13312.000000	44.692578
14336.000000	47.795703
15360.000000	51.198203
16384.000000	54.125547
17408.000000	57.353516
18432.000000	60.595625
19456.000000	63.958125
20480.000000	67.123750
21504.000000	70.411953
22528.000000	73.829219
23552.000000	76.350078
24576.000000	79.742188
25600.000000	82.216953
26624.000000	85.789063
27648.000000	88.399844
28672.000000	91.271328
29696.000000	94.094453
30720.000000	97.153672
31744.000000	100.132500
32768.000000	103.027344
33792.000000	105.861797
34816.000000	108.903828
35840.000000	111.452422
36864.000000	114.080000
37888.000000	116.956016
38912.000000	119.626406
39936.000000	122.213906
40960.000000	124.748828
41984.000000	127.359453
43008.000000	130.206094
44032.000000	132.550859
45056.000000	135.186719
46080.000000	137.637969
47104.000000	140.132344
48128.000000	142.767656
49152.000000	144.926953
50176.000000	147.117969
51200.000000	149.579609
52224.000000	151.796875
53248.000000	154.115234
54272.000000	156.166172
55296.000000	158.300781
56320.000000	160.585313
57344.000000	162.407891
58368.000000	164.862500
59392.000000	166.836953
60416.000000	168.873828
61440.000000	171.068047
62464.000000	172.836016
63488.000000	174.917266
64512.000000	177.104297
65536.000000	179.449063
66560.000000	180.966641
67584.000000	183.158047
68608.000000	184.763359
69632.000000	186.745000
70656.000000	188.061562
71680.000000	189.994531
72704.000000	191.901172
73728.000000	193.438437
74752.000000	194.928437
75776.000000	196.539766
76800.000000	198.400781
77824.000000	199.798359
78848.000000	201.178437
79872.000000	202.794766
80896.000000	204.439297
81920.000000	205.776328
82944.000000	207.157031
83968.000000	208.694219
84992.000000	210.087656
86016.000000	211.483750
87040.000000	212.847969
88064.000000	214.293438
89088.000000	215.627813
90112.000000	216.814453
91136.000000	218.031484
92160.000000	219.257266
93184.000000	220.310156
94208.000000	221.376875
95232.000000	222.618437
96256.000000	223.549453
97280.000000	224.924688
98304.000000	225.980547
99328.000000	227.061172
100352.000000	228.040078
101376.000000	228.803906
102400.000000	229.953047
103424.000000	230.842734
104448.000000	231.935625
105472.000000	232.725703
106496.000000	233.593203
107520.000000	234.401172
108544.000000	235.297031
109568.000000	236.125156
110592.000000	236.938516
111616.000000	237.577500
112640.000000	238.595000
113664.000000	239.395000
114688.000000	240.434297
115712.000000	241.041719
116736.000000	241.989766
117760.000000	242.491484
118784.000000	243.328906
119808.000000	243.991094
120832.000000	244.493203
121856.000000	245.228047
122880.000000	245.831875
123904.000000	246.403750
124928.000000	247.017734
125952.000000	247.284609
126976.000000	248.031953
128000.000000	248.497656
129024.000000	249.071797
130048.000000	249.480703
131072.000000	249.897891
132096.000000	250.495234
133120.000000	250.816250
134144.000000	251.296328
135168.000000	251.805000
136192.000000	252.259531
137216.000000	252.660937
138240.000000	253.091953
139264.000000	253.400703
140288.000000	253.732188
141312.000000	254.191094
142336.000000	254.541016
143360.000000	254.945938
144384.000000	255.346016
145408.000000	255.610625
146432.000000	255.908437
147456.000000	256.298125
148480.000000	256.616953
149504.000000	256.851797
150528.000000	257.127734
151552.000000	257.585625
152576.000000	257.775469
153600.000000	257.967344
154624.000000	258.159609
155648.000000	258.503828
156672.000000	258.739453
157696.000000	259.094453
158720.000000	259.408594
159744.000000	259.687969
160768.000000	259.850234
161792.000000	260.151172
162816.000000	260.342812
163840.000000	260.542031
164864.000000	260.780000
165888.000000	260.933203
166912.000000	261.174062
167936.000000	261.311875
168960.000000	261.546328
169984.000000	261.641953
171008.000000	261.825703
172032.000000	261.922812
173056.000000	262.093047
174080.000000	262.370781
175104.000000	262.307969
176128.000000	262.554375
177152.000000	262.619453
178176.000000	262.740078
179200.000000	262.834766
180224.000000	263.133672
181248.000000	263.256563
182272.000000	263.280937
183296.000000	263.373125
184320.000000	263.611328
185344.000000	263.633984
186368.000000	263.805781
187392.000000	263.813594
188416.000000	263.949219
189440.000000	264.098125
190464.000000	264.177578
191488.000000	264.189375
192512.000000	264.473828
193536.000000	264.263672
194560.000000	264.398594
195584.000000	264.546172
196608.000000	264.688906
197632.000000	264.732109
198656.000000	264.878359
199680.000000	265.004062
200704.000000	265.061719
201728.000000	265.039453
202752.000000	265.226641
203776.000000	265.247187
204800.000000	265.349531
205824.000000	265.647344
206848.000000	265.585547
207872.000000	265.713359
208896.000000	265.748438
209920.000000	265.769062
210944.000000	265.870547
211968.000000	266.005469
212992.000000	266.157969
214016.000000	266.232656
215040.000000	266.341484
216064.000000	266.197812
217088.000000	266.394063
218112.000000	266.516563
219136.000000	266.506172
220160.000000	266.653984
221184.000000	266.618672
222208.000000	266.615938
223232.000000	266.754219
224256.000000	266.765781
225280.000000	266.916172
226304.000000	266.787031
227328.000000	266.931562
228352.000000	266.868594
229376.000000	266.962109
230400.000000	267.024297
231424.000000	267.055156
232448.000000	266.952344
233472.000000	267.146406
234496.000000	267.090859
235520.000000	267.169844
236544.000000	267.236328
237568.000000	267.240937
238592.000000	267.181406
239616.000000	267.238984
240640.000000	267.319609
241664.000000	267.506719
242688.000000	267.354375
243712.000000	267.303828
244736.000000	267.469844
245760.000000	267.432109
246784.000000	267.540938
247808.000000	267.531719
248832.000000	267.522500
249856.000000	267.542891
250880.000000	267.536953
251904.000000	267.610469
252928.000000	267.553516
253952.000000	267.624531
254976.000000	267.626797
256000.000000	267.667422
257024.000000	267.731797
258048.000000	267.608437
259072.000000	267.786953
260096.000000	267.659687
