1D 255 -512.000000 260608.000000	[nbin xmin xmax]
"X"	"Function_0"
172032.000000	261.844688
173056.000000	262.033203
174080.000000	262.325469
175104.000000	262.486250
176128.000000	262.472187
177152.000000	262.673125
178176.000000	262.956406
179200.000000	262.947734
180224.000000	263.140781
181248.000000	263.196953
182272.000000	263.391406
183296.000000	263.368594
184320.000000	263.550859
185344.000000	263.692109
186368.000000	263.709609
187392.000000	263.740703
188416.000000	264.007500
189440.000000	263.989297
190464.000000	264.137578
191488.000000	264.274453
192512.000000	264.473828
193536.000000	264.352266
194560.000000	264.498203
195584.000000	264.587734
196608.000000	264.758750
197632.000000	264.867422
198656.000000	264.933359
199680.000000	265.097578
200704.000000	265.120547
201728.000000	265.229141
202752.000000	265.467266
203776.000000	265.444141
204800.000000	265.507266
205824.000000	265.478203
206848.000000	265.661250
207872.000000	265.566406
208896.000000	265.781719
209920.000000	265.628750
210944.000000	265.812734
211968.000000	265.852266
212992.000000	265.924375
214016.000000	265.974844
215040.000000	266.062188
216064.000000	266.110391
217088.000000	266.086172
218112.000000	266.254062
219136.000000	266.197422
220160.000000	266.273594
221184.000000	266.457344
222208.000000	266.452109
223232.000000	266.414141
224256.000000	266.554531
225280.000000	266.428672
226304.000000	266.607109
227328.000000	266.531484
228352.000000	266.700547
229376.000000	266.717656
230400.000000	266.731172
231424.000000	266.696719
232448.000000	266.758672
233472.000000	266.761250
234496.000000	266.729609
235520.000000	266.923203
236544.000000	266.772812
237568.000000	266.911563
238592.000000	266.913828
239616.000000	266.945391
240640.000000	266.977188
241664.000000	266.990000
242688.000000	267.004219
243712.000000	267.032969
244736.000000	267.069531
245760.000000	267.072734
246784.000000	267.191797
247808.000000	267.238438
248832.000000	267.200078
249856.000000	267.180547
250880.000000	267.213750
251904.000000	267.184219
252928.000000	267.319062
253952.000000	267.343125
254976.000000	267.353203
256000.000000	267.358906
257024.000000	267.362813
258048.000000	267.322266
259072.000000	267.334609
260096.000000	267.365625
