1D 128 0,000000 128,000000	[nbin xmin xmax]
"X"	"Function_0"
0,500000	5103,000000
1,500000	6006,000000
2,500000	6304,000000
3,500000	6204,000000
4,500000	6126,000000
5,500000	5905,000000
6,500000	6112,000000
7,500000	6207,000000
8,500000	6330,000000
9,500000	6470,000000
10,500000	6630,000000
11,500000	6830,000000
12,500000	7014,000000
13,500000	7274,000000
14,500000	7596,000000
15,500000	7637,000000
16,500000	7967,000000
17,500000	8324,000000
18,500000	8407,000000
19,500000	8847,000000
20,500000	8812,000000
21,500000	9002,000000
22,500000	9195,000000
23,500000	9531,000000
24,500000	9578,000000
25,500000	9739,000000
26,500000	9923,000000
27,500000	10209,000000
28,500000	10486,000000
29,500000	10507,000000
30,500000	10517,000000
31,500000	10734,000000
32,500000	10954,000000
33,500000	11158,000000
34,500000	11194,000000
35,500000	11239,000000
36,500000	11428,000000
37,500000	11549,000000
38,500000	11532,000000
39,500000	11767,000000
40,500000	11696,000000
41,500000	11697,000000
42,500000	12057,000000
43,500000	12001,000000
44,500000	11806,000000
45,500000	11820,000000
46,500000	12104,000000
47,500000	12065,000000
48,500000	11642,000000
49,500000	12238,000000
50,500000	11927,000000
51,500000	12046,000000
52,500000	11995,000000
53,500000	11805,000000
54,500000	12051,000000
55,500000	11840,000000
56,500000	11831,000000
57,500000	11488,000000
58,500000	11158,000000
59,500000	11602,000000
60,500000	11321,000000
61,500000	11214,000000
62,500000	11116,000000
63,500000	11029,000000
64,500000	10815,000000
65,500000	10995,000000
66,500000	10122,000000
67,500000	10497,000000
68,500000	10356,000000
69,500000	10009,000000
70,500000	9928,000000
71,500000	9791,000000
72,500000	9618,000000
73,500000	9374,000000
74,500000	9241,000000
75,500000	8993,000000
76,500000	8778,000000
77,500000	8770,000000
78,500000	8481,000000
79,500000	8231,000000
80,500000	7805,000000
81,500000	7744,000000
82,500000	7501,000000
83,500000	7143,000000
84,500000	6851,000000
85,500000	6993,000000
86,500000	6340,000000
87,500000	6526,000000
88,500000	6175,000000
89,500000	5908,000000
90,500000	5650,000000
91,500000	5480,000000
92,500000	5433,000000
93,500000	5194,000000
94,500000	4622,000000
95,500000	4823,000000
96,500000	4271,000000
97,500000	4114,000000
98,500000	4127,000000
99,500000	3923,000000
100,500000	3735,000000
101,500000	3561,000000
102,500000	3309,000000
103,500000	3194,000000
104,500000	3033,000000
105,500000	2911,000000
106,500000	2767,000000
107,500000	2604,000000
108,500000	2476,000000
109,500000	2353,000000
110,500000	2283,000000
111,500000	2097,000000
112,500000	2065,000000
113,500000	1900,000000
114,500000	1746,000000
115,500000	1738,000000
116,500000	1620,000000
117,500000	1589,000000
118,500000	1583,000000
119,500000	1372,000000
120,500000	1376,000000
121,500000	1331,000000
122,500000	1367,000000
123,500000	1357,000000
124,500000	1267,000000
125,500000	1347,000000
126,500000	1304,000000
127,500000	1530,000000
