1D 100 -5.000000 995.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	0.000000
10.000000	0.000000
20.000000	0.000000
30.000000	0.000000
40.000000	0.000000
50.000000	0.000000
60.000000	0.000000
70.000000	48.821452
80.000000	124.995210
90.000000	174.868149
100.000000	190.401060
110.000000	190.584339
120.000000	181.717782
130.000000	166.481755
140.000000	149.855800
150.000000	134.416939
160.000000	117.857571
170.000000	104.167464
180.000000	91.469375
190.000000	79.913397
200.000000	69.720003
210.000000	60.804361
220.000000	53.559814
230.000000	45.332566
240.000000	39.589355
250.000000	34.363048
260.000000	29.965309
270.000000	26.442585
280.000000	23.609956
290.000000	21.284823
300.000000	20.999955
310.000000	16.286834
320.000000	18.886206
330.000000	0.000000
340.000000	0.000000
350.000000	0.000000
360.000000	0.000000
370.000000	0.000000
380.000000	0.000000
390.000000	0.000000
400.000000	0.000000
410.000000	0.000000
420.000000	0.000000
430.000000	0.000000
440.000000	0.000000
450.000000	0.000000
460.000000	0.000000
470.000000	0.000000
480.000000	0.000000
490.000000	0.000000
500.000000	0.000000
510.000000	0.000000
520.000000	0.000000
530.000000	0.000000
540.000000	0.000000
550.000000	0.000000
560.000000	0.000000
570.000000	0.000000
580.000000	0.000000
590.000000	0.000000
600.000000	0.000000
610.000000	0.000000
620.000000	0.000000
630.000000	0.000000
640.000000	0.000000
650.000000	0.000000
660.000000	0.000000
670.000000	0.000000
680.000000	0.000000
690.000000	0.000000
700.000000	0.000000
710.000000	0.000000
720.000000	0.000000
730.000000	0.000000
740.000000	0.000000
750.000000	0.000000
760.000000	0.000000
770.000000	0.000000
780.000000	0.000000
790.000000	0.000000
800.000000	0.000000
810.000000	0.000000
820.000000	0.000000
830.000000	0.000000
840.000000	0.000000
850.000000	0.000000
860.000000	0.000000
870.000000	0.000000
880.000000	0.000000
890.000000	0.000000
900.000000	0.000000
910.000000	0.000000
920.000000	0.000000
930.000000	0.000000
940.000000	0.000000
950.000000	0.000000
960.000000	0.000000
970.000000	0.000000
980.000000	0.000000
990.000000	0.000000
