1D 256 -511.500000 511.500000	[nbin xmin xmax]
"X"	"Function_0"
-509.501953	0.000000
-505.505859	0.000000
-501.509766	0.000000
-497.513672	0.000000
-493.517578	0.000000
-489.521484	0.000000
-485.525391	0.000000
-481.529297	0.000000
-477.533203	0.000000
-473.537109	0.000000
-469.541016	0.000000
-465.544922	0.000000
-461.548828	0.000000
-457.552734	0.000000
-453.556641	0.000000
-449.560547	0.000000
-445.564453	0.000000
-441.568359	0.000000
-437.572266	0.000000
-433.576172	0.000000
-429.580078	0.000000
-425.583984	0.000000
-421.587891	0.000000
-417.591797	0.000000
-413.595703	0.000000
-409.599609	0.000000
-405.603516	0.000000
-401.607422	0.000000
-397.611328	0.000000
-393.615234	0.000000
-389.619141	0.000000
-385.623047	0.000000
-381.626953	0.000000
-377.630859	0.000000
-373.634766	0.000000
-369.638672	0.000000
-365.642578	0.000000
-361.646484	0.000000
-357.650391	0.000000
-353.654297	0.000000
-349.658203	0.000000
-345.662109	0.000000
-341.666016	0.000000
-337.669922	0.000000
-333.673828	0.000000
-329.677734	0.000000
-325.681641	0.000000
-321.685547	0.000000
-317.689453	0.000000
-313.693359	0.000000
-309.697266	0.000000
-305.701172	0.000000
-301.705078	0.000000
-297.708984	0.000000
-293.712891	0.000000
-289.716797	0.000000
-285.720703	0.000000
-281.724609	0.000000
-277.728516	0.000000
-273.732422	0.000000
-269.736328	0.000000
-265.740234	0.000000
-261.744141	0.000000
-257.748047	0.000000
-253.751953	0.000000
-249.755859	0.000000
-245.759766	0.000000
-241.763672	0.000000
-237.767578	0.000000
-233.771484	0.000000
-229.775391	0.000000
-225.779297	0.000000
-221.783203	0.000000
-217.787109	0.000000
-213.791016	0.000000
-209.794922	0.000000
-205.798828	0.000000
-201.802734	0.000000
-197.806641	0.000000
-193.810547	0.000000
-189.814453	0.000000
-185.818359	0.000000
-181.822266	0.000000
-177.826172	0.000000
-173.830078	0.000000
-169.833984	1.000000
-165.837891	3.000000
-161.841797	0.000000
-157.845703	0.000000
-153.849609	0.000000
-149.853516	0.000000
-145.857422	0.000000
-141.861328	1.000000
-137.865234	2.000000
-133.869141	0.000000
-129.873047	1.000000
-125.876953	2.000000
-121.880859	3.000000
-117.884766	1.000000
-113.888672	0.000000
-109.892578	3.000000
-105.896484	1.000000
-101.900391	6.000000
-97.904297	6.000000
-93.908203	3.000000
-89.912109	5.000000
-85.916016	12.000000
-81.919922	10.000000
-77.923828	6.000000
-73.927734	7.000000
-69.931641	9.000000
-65.935547	6.000000
-61.939453	13.000000
-57.943359	5.000000
-53.947266	12.000000
-49.951172	8.000000
-45.955078	6.000000
-41.958984	9.000000
-37.962891	8.000000
-33.966797	8.000000
-29.970703	11.000000
-25.974609	14.000000
-21.978516	18.000000
-17.982422	21.000000
-13.986328	33.000000
-9.990234	15.000000
-5.994141	5.000000
-1.998047	1.000000
1.998047	1.000000
5.994141	4.000000
9.990234	1125.000000
13.986328	3344.000000
17.982422	3886.000000
21.978516	4723.000000
25.974609	5639.000000
29.970703	6482.000000
33.966797	7639.000000
37.962891	8824.000000
41.958984	10659.000000
45.955078	12656.000000
49.951172	15380.000000
53.947266	19076.000000
57.943359	24173.000000
61.939453	30747.000000
65.935547	39219.000000
69.931641	47271.000000
73.927734	54657.000000
77.923828	59076.000000
81.919922	59779.000000
85.916016	57718.000000
89.912109	54064.000000
93.908203	48961.000000
97.904297	43535.000000
101.900391	37825.000000
105.896484	33279.000000
109.892578	28947.000000
113.888672	25082.000000
117.884766	21654.000000
121.880859	18701.000000
125.876953	16292.000000
129.873047	14302.000000
133.869141	12748.000000
137.865234	11284.000000
141.861328	9831.000000
145.857422	8784.000000
149.853516	8029.000000
153.849609	7276.000000
157.845703	6519.000000
161.841797	5738.000000
165.837891	5185.000000
169.833984	4797.000000
173.830078	4405.000000
177.826172	4154.000000
181.822266	3762.000000
185.818359	3607.000000
189.814453	3283.000000
193.810547	3056.000000
197.806641	2752.000000
201.802734	2631.000000
205.798828	2330.000000
209.794922	2210.000000
213.791016	2044.000000
217.787109	2004.000000
221.783203	1776.000000
225.779297	1674.000000
229.775391	1626.000000
233.771484	1502.000000
237.767578	1396.000000
241.763672	1393.000000
245.759766	1194.000000
249.755859	1131.000000
253.751953	1075.000000
257.748047	990.000000
261.744141	928.000000
265.740234	900.000000
269.736328	829.000000
273.732422	793.000000
277.728516	673.000000
281.724609	675.000000
285.720703	626.000000
289.716797	589.000000
293.712891	549.000000
297.708984	517.000000
301.705078	467.000000
305.701172	413.000000
309.697266	362.000000
313.693359	359.000000
317.689453	283.000000
321.685547	279.000000
325.681641	285.000000
329.677734	249.000000
333.673828	255.000000
337.669922	217.000000
341.666016	202.000000
345.662109	162.000000
349.658203	174.000000
353.654297	140.000000
357.650391	112.000000
361.646484	98.000000
365.642578	97.000000
369.638672	75.000000
373.634766	95.000000
377.630859	74.000000
381.626953	64.000000
385.623047	60.000000
389.619141	62.000000
393.615234	60.000000
397.611328	51.000000
401.607422	38.000000
405.603516	32.000000
409.599609	38.000000
413.595703	32.000000
417.591797	26.000000
421.587891	21.000000
425.583984	22.000000
429.580078	18.000000
433.576172	15.000000
437.572266	21.000000
441.568359	12.000000
445.564453	10.000000
449.560547	12.000000
453.556641	13.000000
457.552734	7.000000
461.548828	5.000000
465.544922	5.000000
469.541016	4.000000
473.537109	4.000000
477.533203	2.000000
481.529297	5.000000
485.525391	7.000000
489.521484	6.000000
493.517578	2.000000
497.513672	4.000000
501.509766	4.000000
505.505859	4.000000
509.501953	0.000000
